atom,orbital,r_bohr,R
Ar,1s,1e-05,147.848377733
Ar,1s,1.00635684521e-05,147.848375344
Ar,1s,1.01275409989e-05,147.848372925
Ar,1s,1.01919202094e-05,147.848370475
Ar,1s,1.02567086685e-05,147.848367993
Ar,1s,1.03219089778e-05,147.84836548
Ar,1s,1.03875237555e-05,147.848362935
Ar,1s,1.0453555636e-05,147.848360357
Ar,1s,1.05200072711e-05,147.848357747
Ar,1s,1.05868813289e-05,147.848355103
Ar,1s,1.06541804947e-05,147.848352425
Ar,1s,1.07219074709e-05,147.848349714
Ar,1s,1.0790064977e-05,147.848346967
Ar,1s,1.08586557498e-05,147.848344186
Ar,1s,1.09276825436e-05,147.848341369
Ar,1s,1.099714813e-05,147.848338517
Ar,1s,1.10670552984e-05,147.848335628
Ar,1s,1.11374068558e-05,147.848332702
Ar,1s,1.12082056272e-05,147.848329738
Ar,1s,1.12794544554e-05,147.848326737
Ar,1s,1.13511562014e-05,147.848323698
Ar,1s,1.14233137442e-05,147.84832062
Ar,1s,1.14959299815e-05,147.848317503
Ar,1s,1.15690078289e-05,147.848314346
Ar,1s,1.16425502208e-05,147.848311148
Ar,1s,1.17165601104e-05,147.84830791
Ar,1s,1.17910404694e-05,147.848304631
Ar,1s,1.18659942884e-05,147.84830131
Ar,1s,1.19414245773e-05,147.848297946
Ar,1s,1.20173343649e-05,147.84829454
Ar,1s,1.20937266993e-05,147.84829109
Ar,1s,1.21706046479e-05,147.848287596
Ar,1s,1.22479712977e-05,147.848284057
Ar,1s,1.23258297553e-05,147.848280474
Ar,1s,1.24041831471e-05,147.848276845
Ar,1s,1.24830346193e-05,147.848273169
Ar,1s,1.25623873381e-05,147.848269447
Ar,1s,1.26422444898e-05,147.848265677
Ar,1s,1.27226092811e-05,147.848261859
Ar,1s,1.28034849389e-05,147.848257992
Ar,1s,1.28848747108e-05,147.848254076
Ar,1s,1.29667818648e-05,147.84825011
Ar,1s,1.30492096899e-05,147.848246093
Ar,1s,1.3132161496e-05,147.848242026
Ar,1s,1.32156406139e-05,147.848237906
Ar,1s,1.32996503956e-05,147.848233734
Ar,1s,1.33841942144e-05,147.848229508
Ar,1s,1.34692754652e-05,147.848225229
Ar,1s,1.35548975644e-05,147.848220895
Ar,1s,1.364106395e-05,147.848216506
Ar,1s,1.3727778082e-05,147.848212061
Ar,1s,1.38150434423e-05,147.848207559
Ar,1s,1.3902863535e-05,147.848203
Ar,1s,1.39912418864e-05,147.848198383
Ar,1s,1.40801820453e-05,147.848193707
Ar,1s,1.41696875831e-05,147.848188971
Ar,1s,1.42597620936e-05,147.848184174
Ar,1s,1.4350409194e-05,147.848179317
Ar,1s,1.44416325238e-05,147.848174398
Ar,1s,1.45334357463e-05,147.848169415
Ar,1s,1.46258225477e-05,147.84816437
Ar,1s,1.47187966376e-05,147.84815926
Ar,1s,1.48123617495e-05,147.848154085
Ar,1s,1.49065216403e-05,147.848148844
Ar,1s,1.50012800909e-05,147.848143536
Ar,1s,1.50966409063e-05,147.84813816
Ar,1s,1.51926079157e-05,147.848132716
Ar,1s,1.52891849725e-05,147.848127202
Ar,1s,1.53863759547e-05,147.848121618
Ar,1s,1.5484184765e-05,147.848115963
Ar,1s,1.55826153306e-05,147.848110235
Ar,1s,1.56816716042e-05,147.848104435
Ar,1s,1.57813575632e-05,147.848098561
Ar,1s,1.58816772104e-05,147.848092611
Ar,1s,1.5982634574e-05,147.848086586
Ar,1s,1.6084233708e-05,147.848080484
Ar,1s,1.61864786919e-05,147.848074305
Ar,1s,1.62893736314e-05,147.848068046
Ar,1s,1.63929226581e-05,147.848061708
Ar,1s,1.64971299299e-05,147.848055288
Ar,1s,1.66019996312e-05,147.848048787
Ar,1s,1.6707535973e-05,147.848042203
Ar,1s,1.68137431929e-05,147.848035535
Ar,1s,1.69206255558e-05,147.848028782
Ar,1s,1.70281873532e-05,147.848021943
Ar,1s,1.71364329044e-05,147.848015017
Ar,1s,1.72453665557e-05,147.848008002
Ar,1s,1.73549926815e-05,147.848000898
Ar,1s,1.74653156835e-05,147.847993703
Ar,1s,1.75763399918e-05,147.847986417
Ar,1s,1.76880700644e-05,147.847979037
Ar,1s,1.78005103878e-05,147.847971564
Ar,1s,1.79136654769e-05,147.847963995
Ar,1s,1.80275398754e-05,147.84795633
Ar,1s,1.81421381559e-05,147.847948567
Ar,1s,1.82574649198e-05,147.847940705
